Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,62,62,2122,703,1340,.525,133,358,.372,570,982,.580,.574,499,555,.899,57,262,319,384,112,65,157,140,2038,0,,gilgesh01
2,Anthony Edwards,23,MIN,SG,63,63,2296,566,1282,.441,257,633,.406,309,649,.476,.542,324,388,.835,49,328,377,289,72,38,207,116,1713,0,,edwaran01
3,Nikola Jokić,29,DEN,C,58,58,2108,638,1112,.574,113,263,.430,525,849,.618,.625,280,346,.809,170,580,750,611,103,39,192,128,1669,29,,jokicni01
4,Jayson Tatum,26,BOS,PF,60,60,2192,554,1218,.455,217,612,.355,337,606,.556,.544,304,378,.804,40,491,531,349,68,32,175,134,1629,2,,tatumja01
5,Jalen Brunson,28,NYK,PG,61,61,2162,558,1138,.490,140,365,.384,418,773,.541,.552,350,424,.825,25,156,181,452,58,6,153,132,1606,0,,brunsja01
6,Giannis Antetokounmpo,30,MIL,PF,51,51,1730,627,1037,.605,8,42,.190,619,995,.622,.608,313,526,.595,119,495,614,298,40,61,168,125,1575,6,,antetgi01
7,Cade Cunningham,23,DET,PG,60,60,2118,570,1230,.463,134,371,.361,436,859,.508,.518,264,308,.857,47,317,364,555,62,45,274,163,1538,8,,cunnica01
8,Devin Booker,28,PHO,SG,58,58,2170,499,1091,.457,154,447,.345,345,644,.536,.528,354,396,.894,56,176,232,398,61,14,162,154,1506,0,,bookede01
9,Donovan Mitchell,28,CLE,SG,60,60,1875,502,1113,.451,208,541,.384,294,572,.514,.544,240,293,.819,44,216,260,285,79,12,125,118,1452,0,,mitchdo01
10,LeBron James,40,LAL,SF,58,58,2023,555,1073,.517,132,344,.384,423,729,.580,.579,208,270,.770,59,417,476,495,52,35,226,85,1450,10,,jamesle01
11,Tyler Herro,25,MIA,SG,60,60,2140,498,1089,.457,214,576,.372,284,513,.554,.556,220,255,.863,22,303,325,345,49,13,155,76,1430,0,,herroty01
12,Trae Young,26,ATL,PG,60,60,2172,441,1091,.404,168,517,.325,273,574,.476,.481,379,437,.867,26,159,185,692,68,11,287,122,1429,0,,youngtr01
13,De'Aaron Fox,27,2TM,PG,60,60,2166,521,1125,.463,115,370,.311,406,755,.538,.514,256,310,.826,52,233,285,373,90,25,168,156,1413,0,,foxde01
13,De'Aaron Fox,27,SAC,PG,45,45,1663,414,883,.469,92,286,.322,322,597,.539,.521,204,246,.829,45,180,225,276,66,20,133,118,1124,0,,foxde01
13,De'Aaron Fox,27,SAS,PG,15,15,503,107,242,.442,23,84,.274,84,158,.532,.490,52,64,.813,7,53,60,97,24,5,35,38,289,0,,foxde01
14,Tyrese Maxey,24,PHI,PG,52,52,1960,477,1091,.437,161,478,.337,316,613,.515,.511,254,289,.879,15,159,174,317,91,21,124,116,1369,1,,maxeyty01
15,Kevin Durant,36,PHO,PF,51,51,1888,496,938,.529,123,309,.398,373,629,.593,.594,251,303,.828,19,295,314,221,44,67,154,87,1366,0,,duranke01
16,James Harden,35,LAC,PG,61,61,2131,396,1005,.394,180,530,.340,216,475,.455,.484,385,441,.873,40,313,353,523,90,39,276,125,1357,2,,hardeja01
17,Karl-Anthony Towns,29,NYK,C,56,56,1970,489,936,.522,114,272,.419,375,664,.565,.583,264,316,.835,171,576,747,173,56,41,143,197,1356,0,,townska01
18,Jalen Green,22,HOU,SG,64,64,2123,478,1124,.425,186,524,.355,292,600,.487,.508,208,251,.829,34,247,281,204,52,19,163,103,1350,0,,greenja05
19,Damian Lillard,34,MIL,PG,53,53,1917,418,922,.453,183,484,.378,235,438,.537,.553,331,359,.922,28,221,249,375,66,9,154,91,1350,2,,lillada01
20,Stephen Curry,36,GSW,PG,55,55,1769,446,994,.449,246,619,.397,200,375,.533,.572,211,226,.934,31,213,244,341,58,23,158,74,1349,0,,curryst01
21,Jaren Jackson Jr.,25,MEM,C,59,59,1732,483,971,.497,111,304,.365,372,667,.558,.555,264,342,.772,78,267,345,126,74,97,127,199,1341,0,,jacksja02
22,Zach LaVine,29,2TM,SF,56,56,1948,486,949,.512,179,410,.437,307,539,.570,.606,190,232,.819,16,244,260,244,51,11,157,81,1341,0,,lavinza01
22,Zach LaVine,29,CHI,SF,42,42,1432,363,710,.511,136,305,.446,227,405,.560,.607,145,182,.797,12,190,202,189,39,10,121,64,1007,0,,lavinza01
22,Zach LaVine,29,SAC,SG,14,14,516,123,239,.515,43,105,.410,80,134,.597,.605,45,50,.900,4,54,58,55,12,1,36,17,334,0,,lavinza01
23,DeMar DeRozan,35,SAC,SF,58,58,2092,473,975,.485,63,180,.350,410,795,.516,.517,286,326,.877,36,200,236,236,55,23,80,113,1295,0,,derozde01
24,Pascal Siakam,30,IND,PF,62,62,2043,494,947,.522,107,266,.402,387,681,.568,.578,196,260,.754,107,341,448,203,56,29,82,159,1291,0,,siakapa01
25,Jalen Williams,23,OKC,SG,60,60,1974,488,1021,.478,110,304,.362,378,717,.527,.532,200,252,.794,52,279,331,316,101,44,133,144,1286,0,,willija06
26,Darius Garland,25,CLE,PG,60,60,1817,445,931,.478,175,422,.415,270,509,.530,.572,187,213,.878,35,119,154,399,67,10,145,122,1252,0,,garlada01
27,Kyrie Irving,32,DAL,SG,50,50,1804,447,945,.473,144,359,.401,303,586,.517,.549,196,214,.916,60,180,240,231,66,23,111,101,1234,0,,irvinky01
28,Jaylen Brown,28,BOS,SF,53,53,1873,458,990,.463,102,313,.326,356,677,.526,.514,213,283,.753,79,242,321,252,65,15,143,134,1231,0,,brownja02
29,Jamal Murray,27,DEN,PG,57,57,2069,450,949,.474,133,336,.396,317,613,.517,.544,182,207,.879,35,178,213,345,81,30,122,109,1215,0,,murraja01
30,Anfernee Simons,25,POR,SG,61,61,1998,419,975,.430,186,508,.366,233,467,.499,.525,155,171,.906,20,148,168,299,52,5,127,105,1179,0,,simonan01
31,Alperen Şengün,22,HOU,C,60,60,1880,454,912,.498,18,79,.228,436,833,.523,.508,231,335,.690,199,422,621,295,70,48,153,172,1157,3,,sengual01
32,Michael Porter Jr.,26,DEN,SF,61,61,2049,429,845,.508,156,388,.402,273,457,.597,.600,113,152,.743,113,310,423,129,37,28,80,118,1127,0,,portemi01
33,Victor Wembanyama,21,SAS,C,46,46,1527,408,857,.476,142,403,.352,266,454,.586,.559,158,189,.836,82,424,506,168,52,176,149,105,1116,1,,wembavi01
34,Franz Wagner,23,ORL,SF,45,45,1513,410,879,.466,82,269,.305,328,610,.538,.513,210,246,.854,44,204,248,212,61,19,101,117,1112,0,,wagnefr01
35,Jordan Poole,25,WAS,SG,52,52,1626,361,853,.423,184,490,.376,177,363,.488,.531,201,229,.878,27,141,168,249,74,25,169,166,1107,0,,poolejo01
36,Anthony Davis,31,2TM,PF,43,43,1471,410,776,.528,30,96,.313,380,680,.559,.548,257,327,.786,123,392,515,148,54,93,94,82,1107,0,,davisan02
36,Anthony Davis,31,LAL,C,42,42,1440,400,758,.528,28,94,.298,372,664,.560,.546,253,321,.788,119,380,499,141,54,90,93,82,1081,0,,davisan02
36,Anthony Davis,31,DAL,PF,1,1,31,10,18,.556,2,2,1.000,8,16,.500,.611,4,6,.667,4,12,16,7,0,3,1,0,26,0,,davisan02
37,Norman Powell,31,LAC,SG,46,46,1520,380,769,.494,151,356,.424,229,413,.554,.592,183,223,.821,17,144,161,101,60,8,93,86,1094,0,,powelno01
